Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
simulator.CirSim.enablePaste(CirSim.java:1636)	Change visibility of Method "CirSim.enablePaste()" to private	CirSim.enablePaste()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.clearSelection(CirSim.java:1640)	Change visibility of Method "CirSim.clearSelection()" to private	CirSim.clearSelection()	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.doSelectAll(CirSim.java:1648)	Method "CirSim.doSelectAll()" has 0 references	CirSim.doSelectAll()	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.lu_factor(CirSim.java:1660)	Change visibility of Method "CirSim.lu_factor(double[][],int,int[])" to private	CirSim.lu_factor(double[][],int,int[])	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.lu_solve(CirSim.java:1746)	Change visibility of Method "CirSim.lu_solve(double[][],int,int[],double[])" to private	CirSim.lu_solve(double[][],int,int[],double[])	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.setMain(CirSim.java:1795)	Method "CirSim.setMain(Container)" has 0 references	CirSim.setMain(Container)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setPrintableCheckItem(CirSim.java:1812)	Method "CirSim.setPrintableCheckItem(CheckboxMenuItem)" has 0 references	CirSim.setPrintableCheckItem(CheckboxMenuItem)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setScopeIbMenuItem(CirSim.java:1845)	Method "CirSim.setScopeIbMenuItem(CheckboxMenuItem)" has 0 references	CirSim.setScopeIbMenuItem(CheckboxMenuItem)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setScopeIcMenuItem(CirSim.java:1854)	Method "CirSim.setScopeIcMenuItem(CheckboxMenuItem)" has 0 references	CirSim.setScopeIcMenuItem(CheckboxMenuItem)	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.setScopeIeMenuItem(CirSim.java:1863)	Method "CirSim.setScopeIeMenuItem(CheckboxMenuItem)" has 0 references	CirSim.setScopeIeMenuItem(CheckboxMenuItem)	org.ucdetector.analyzeMarkerReference	
